Nama Warna	Kode Heximal	RGB
 
Alice Blue	#F0F8FF	RGB (240, 248, 254)
 
Antique White	#FAEBD7	RGB (251, 235, 217)
 
Aqua	#00FFFF	RGB (0, 255, 254)
 
Aquamarine	#7FFFD4	RGB (115, 255, 216)
 
Azure	#F0FFFF	RGB (239, 255, 255)
 
Beige	#F5F5DC	RGB (245, 245, 223)
 
Bisque	#FFE4C4	RGB (255, 227, 200)
 
Black	#000000	RGB (0, 0, 0)
 
Blanched Almond	#FFEBCD	RGB (255, 234, 208)
 
Blue	#0000FF	RGB (0, 0, 255)
 
Blue Violet	#8A2BE2	RGB (138, 43, 226)
 
Brown	#A52A2A	RGB(165, 42, 42)
 
Burly Wood	#DEB887	RGB (222, 184, 135)
 
Cadet Blue	#5F9EA0	RGB (95, 158, 160)
 
Chartreuse	#7FFF00	RGB (127, 255, 1)
 
Chocolate	#D2691E	RGB (210, 105, 30)
 
Coral	#FF7F50	RGB (251, 127, 80)
 
Cornflower Blue	#6495ED	RGB (100, 149, 237)
 
Cornsilk	#FFF8DC	RGB (225, 248, 220)
 
Crimson	#DC143C	RGB (220, 20, 60)
 
Cyan	#00FFFF	RGB (62, 254, 255)
 
Dark Blue	#00008B	RGB (0, 0, 139)
 
Dark Cyan	#008B8B	RGB (29, 139, 139)
 
Dark Golden Rod	#B8860B	RGB (184, 134, 11)
 
Dark Gray	#A9A9A9	RGB (169, 169, 169)
 
Dark Green	#006400	RGB (19, 100, 0)
 
Dark Khaki	#BDB76B	RGB (189, 183, 107)
 
Dark Magenta	#8B008B	RGB (139, 0, 140)
 
Dark Olive Green	#556B2F	RGB (85, 107, 47)
 
Dark Orange	#FF8C00	RGB (251, 140, 1)
 
Dark Orchid	#9932CC	RGB (153, 50, 204)
 
Dark Red	#8B0000	RGB (139, 5, 0)
 
Dark Salmon	#E9967A	RGB (233, 150, 122)
 
Dark Sea Green	#8FBC8F	RGB (143, 188, 144)
 
Dark Slate Blue	#483D8B	RGB (72, 61, 139)
 
Dark Slate Gray	#2F4F4F	RGB (47, 79, 79)
 
Dark Turquoise	#00CED1	RGB (48, 206, 209)
 
Dark Violet	#9400D3	RGB (148, 0, 211)
 
Deep Pink	#FF1493	RGB (249, 19, 147)
 
Deep Sky Blue	#00BFFF	RGB (43, 191, 254)
 
Dim Gray	#696969	RGB (105, 105, 105)
 
Dodger Blue	#1E90FF	RGB (30, 144, 255)
 
Fire Brick	#B22222	RGB (178, 34, 33)
 
Floral White	#FFFAF0	RGB (255, 250, 240)
 
Forest Green	#228B22	RGB (34, 139, 35)
 
Fuchsia	#FF00FF	RGB (249, 0, 255)
 
Gainsboro	#DCDCDC	RGB (220, 220, 220)
 
Ghost White	#F8F8FF	RGB (248, 248, 255)
 
Gold	#FFD700	RGB (253, 215, 3)
 
Golden Rod	#DAA520	RGB (218, 165, 32)
 
Gray	#808080	RGB (128, 128, 128)
 
Green	#008000	RGB (27, 128, 1)
 
Green Yellow	#ADFF2F	RGB (173, 255, 48)
 
Honey Dew	#F0FFF0	RGB (240, 255, 240)
 
Hot Pink	#FF69B4	RGB (240, 255, 240)
 
Indian Red	#CD5C5C	RGB (205, 92, 92)
 
Indigo	#4B0082	RGB (75, 0, 130)
 
Ivory	#FFFFF0	RGB (255, 255, 239)
 
Khaki	#F0E68C	RGB (240, 230, 140)
 
Lavender	#E6E6FA	RGB (230, 230, 250)
 
Lavender Blush	#FFF0F5	RGB (254, 240, 245)
 
Lawn Green	#7CFC00	RGB (124, 252, 2)
 
Lemon Chiffon	#FFFACD	RGB (255, 250, 205)
 
Light Blue	#ADD8E6	RGB (173, 216, 230)
 
Light Coral	#F08080	RGB (240, 128, 128)
 
Light Cyan	#E0FFFF	RGB (224, 255, 255)
 
Light Goldenrod Yellow	#FAFAD2	RGB (250, 250, 210)
 
Light Gray	#D3D3D3	RGB (211, 211, 211)
 
Light Green	#90EE90	RGB (144, 238, 144)
 
Light Pink	#FFB6C1	RGB (252, 182, 193)
 
Light Salmon	#FFA07A	RGB (251, 160, 122)
 
Light Sea Green	#20B2AA	RGB (40, 178, 170)
 
Light Sky Blue	#87CEFA	RGB (135, 206, 250)
 
Light Slate Gray	#778899	RGB (119, 136, 153)
 
Light Steel Blue	#B0C4DE	RGB (176, 196, 222)
 
Light Yellow	#FFFFE0	RGB (255, 255, 224)
 
Lime	#00FF00	RGB (63, 255, 0)
 
Lime Green	#32CD32	RGB (50, 205, 50)
 
Linen	#FAF0E6	RGB (250, 240, 230)
 
Magenta	#FF00FF	RGB (249, 0, 255)
 
